TUR,Galatasaray vs Trabzonspor,1,1.25,19:00,,2024-12-16,,N/A,momegfgd248646415,bet99_betday
ENG 2,Fleetwood vs Accrington,+1.5,1.20,21:00,,2024-12-16,,N/A,qsrxvfmx83060651,bet99_betday
POR,FC Porto vs Estrela,1,1.40,21:15,,2024-12-16,,N/A,iauvodjd232579223,bet99_betday
IRA,Esteghlal F.C. vs Gol Gohar,1X,1.30,15:00,,2024-12-16,,N/A,cdsjqosh57646153,bet99_betday
BUL,CSKA 1948 Sofia vs Ludogorets,X2,1.45,15:00,,2024-12-16,,N/A,fsaziioa297310908,bet99_betday
POR,Braga vs Famalicao,+1.5,1.40,19:45,,2024-12-16,,N/A,bwvbqgsg194139081,bet99_betday
BELG,St. Truiden vs Anderlecht,X2,1.30,18:30,0:2,2024-12-15,,N/A,ghystdpz269659877,bet99_betday
BELG,Gent vs Cercle Brugge KSV,+1.5,1.25,19:15,1:1,2024-12-15,,N/A,ijydkixx143901695,bet99_betday
TUR,Fenerbahce vs Basaksehir,1X,1.45,17:00,3:1,2024-12-15,,N/A,udueqxlm243842521,bet99_betday
POR,AVS vs Benfica,2,1.20,19:00,1:1,2024-12-15,,N/A,ulaojvra10160003,bet99_betday
SPA,Atl. Madrid vs Getafe,1,1.45,14:00,1:0,2024-12-15,,N/A,compmwrm242049980,bet99_betday
