PL II Liga - East,Zaglebie Sosnowiec vs Unia Skierniewice,Draw(X),11.40,18:30,,2025-08-10,,N/A,zwgizqdt166006944,bet99_draws
AU Queensland Premier L..,SWQ Thunder vs Capalaba,Draw(X),4.45,06:00,,2025-08-10,,N/A,jnrokuyp248245960,bet99_draws
AU Queensland NPL,St George Willawon.. vs SC Wanderers,Draw(X),6.40,08:00,,2025-08-10,,N/A,jezngful275125602,bet99_draws
CH Super League,Servette FC vs Grasshoppers,Draw(X),3.48,15:30,,2025-08-10,,N/A,ggpsjqyp239903217,bet99_draws
NO Eliteserien,Sandefjord vs Viking,Draw(X),3.48,18:15,,2025-08-10,,N/A,mtugdsxm233288891,bet99_draws
CL Primera B,San Marcos de Aric.. vs Deportes Temuco,Draw(X),8.55,01:00,,2025-08-10,,N/A,rqgxhmtq72846709,bet99_draws
LV Virsliga,Rīgas FS vs Super Nova,Draw(X),4.35,18:00,,2025-08-10,,N/A,hhdgewms211522793,bet99_draws
AU Northern NSW NPL,Lambton Jaffas vs Maitland,Draw(X),6.40,07:00,,2025-08-10,,N/A,kakzlmyk324739985,bet99_draws
CL Primera División,Cobresal vs Coquimbo Unido,Draw(X),4.45,20:00,,2025-08-10,,N/A,qadvzhlm321865473,bet99_draws
KR K League 2,Cheongju vs Bucheon FC 1995,Draw(X),5.65,11:30,,2025-08-10,,N/A,bxfoicsy163255985,bet99_draws
AU South Australia NPL,West Torrens Birka.. vs Adelaide Comets,Draw(X),1.30,06:30,2:0,2025-08-09,,N/A,mscewyyr160883607,bet99_draws
AU South Australia Stat..,West Adelaide vs Adelaide Olympic,Draw(X),1.35,08:30,2:1,2025-08-09,,N/A,fzeuyddq173777361,bet99_draws
GB-ENG National League - So..,Torquay vs Enfield Town,Draw(X),1.20,15:00,3:1,2025-08-09,,N/A,dhumchrs275569315,bet99_draws
GB-SCT League Two,Spartans vs Dumbarton,Draw(X),1.45,15:00,1:2,2025-08-09,,N/A,sqvjvafe175584968,bet99_draws
AU Tasmania NPL,South Hobart vs Launceston City,Draw(X),1.30,05:00,1:3,2025-08-09,,N/A,nnjbupel298507509,bet99_draws
AT 2. Liga,Rapid Wien II vs FC Liefering,Draw(X),1.20,13:30,1:1,2025-08-09,,N/A,utqdqjfa141299123,bet99_draws
GB-SCT Championship,Partick vs Morton,Draw(X),1.20,15:00,1:1,2025-08-09,,N/A,venjmmbr110046661,bet99_draws
EE Meistriliiga,Paide vs Tallinna Kalev,Draw(X),1.40,17:00,2:2,2025-08-09,,N/A,vfdmmoji18137632,bet99_draws
EE Esiliiga A,Nõmme Kalju II vs FC Tallinn,Draw(X),1.27,13:00,1:0,2025-08-09,,N/A,bcbotfec242428274,bet99_draws
DK 3. Division,Næsby vs Vejgaard B,Draw(X),1.27,13:00,4:1,2025-08-09,,N/A,xvscattx261497424,bet99_draws
AU Tasmania NPL,Kingborough Lions vs Riverside,Draw(X),1.45,05:15,2:0,2025-08-09,,N/A,wxrlejvz320454844,bet99_draws
AU Western Australia St..,Gwelup Croatia vs Inglewood United,Draw(X),1.20,08:00,2:3,2025-08-09,,N/A,qlsyozyy57543810,bet99_draws
GB-NIR Premiership,Glenavon FC vs Ballymena United,Draw(X),1.45,15:00,0:2,2025-08-09,,N/A,prrcogmb22556805,bet99_draws
EE Esiliiga A,Elva vs FCI Levadia II,Draw(X),1.27,13:00,2:0,2025-08-09,,N/A,kypsgced31424722,bet99_draws
SK 2. liga,Dukla Banská Bystr.. vs Liptovský Mikuláš,Draw(X),1.45,18:00,4:3,2025-08-09,,N/A,fcebsnxd217010960,bet99_draws
CL Primera División,D. La Serena vs O'Higgins,Draw(X),1.35,22:30,2:1,2025-08-09,,N/A,yypjjftk127318488,bet99_draws
AU Capital Territory NP..,Cooma Tigers FC vs Gungahlin United,Draw(X),1.20,06:00,4:4,2025-08-09,,N/A,dxruftqa40603984,bet99_draws
PL III Liga - Group 2,Cartusia Kartuzy vs Pogoń Szczecin II,Draw(X),1.35,15:00,2:1,2025-08-09,,N/A,txvzbdzt240858612,bet99_draws
AU Capital Territory NP..,Canberra Olympic vs Belconnen United,Draw(X),1.20,06:00,2:4,2025-08-09,,N/A,bbflpvbv6335720,bet99_draws
AU Western Australia NP..,Bayswater City vs Stirling Lions,Draw(X),1.35,08:00,:,2025-08-09,,N/A,eknrpkya6651157,bet99_draws
CZ 3. liga - CFL B,Baník Souš vs Pardubice II,Draw(X),1.30,14:00,2:1,2025-08-09,,N/A,nxczlwyo193211258,bet99_draws
FI Kakkonen - Lohko B,Atlantis II vs PPJ,Draw(X),1.35,15:00,0:4,2025-08-09,,N/A,knwfqslg234586188,bet99_draws
