home_team,home_logo,away_team,away_logo,competition,match_date,tips
England U21,https://tejtips.com/wp-content/uploads/2020/09/england-1.png,Netherlands U21,https://tejtips.com/wp-content/uploads/2020/09/netherlands-1.png,UEFA U21 Championship,25 Jun,Full-Time | 1X
Lillestrøm SK,https://media.api-sports.io/football/teams/321.png,Oslo,https://media.api-sports.io/football/teams/2143.png,NM Cupen,25 Jun,Over | 1.5
Stabæk,https://media.api-sports.io/football/teams/323.png,Kristiansund,https://media.api-sports.io/football/teams/320.png,NM Cupen,25 Jun,Over | 1.5
Rosenborg,https://media.api-sports.io/football/teams/331.png,Sarpsborg,https://media.api-sports.io/football/teams/333.png,NM Cupen,25 Jun,Full-Time | 1X
Aalesund,https://media.api-sports.io/football/teams/757.png,Viking,https://media.api-sports.io/football/teams/759.png,NM Cupen,25 Jun,Full-Time | X2
Mamelodi Sundowns,https://tejtips.com/wp-content/uploads/2025/06/IMG_2855.png,Fluminense,https://media.api-sports.io/football/teams/124.png,FIFA Club World Cup,25 Jun,Full-Time | X2
B. Dortmund,https://media.api-sports.io/football/teams/165.png,Ulsan Hyundai,https://media.api-sports.io/football/teams/2767.png,FIFA Club World Cup,25 Jun,Full-Time | 1
Germany U21,https://tejtips.com/wp-content/uploads/2020/09/germany-1.png,France U21,https://tejtips.com/wp-content/uploads/2020/09/france-1.png,UEFA U21 Championship,25 Jun,Over | 1.5
Toronto,https://media.api-sports.io/football/teams/1601.png,NY Red Bulls,https://media.api-sports.io/football/teams/1602.png,Major League Soccer,26 Jun,Over | 1.5
New England,https://media.api-sports.io/football/teams/1609.png,Nashville SC,https://media.api-sports.io/football/teams/9569.png,Major League Soccer,26 Jun,Over | 1.5
Montreal,https://media.api-sports.io/football/teams/1614.png,FC Cincinnati,https://media.api-sports.io/football/teams/2242.png,Major League Soccer,26 Jun,Over | 1.5
Columbus,https://media.api-sports.io/football/teams/1613.png,Atlanta Utd,https://media.api-sports.io/football/teams/1608.png,Major League Soccer,26 Jun,Over | 1.5
Chicago Fire,https://media.api-sports.io/football/teams/1607.png,Philadelphia,https://media.api-sports.io/football/teams/1599.png,Major League Soccer,26 Jun,Over | 1.5
Dallas,https://media.api-sports.io/football/teams/1597.png,San Jose,https://media.api-sports.io/football/teams/1596.png,Major League Soccer,26 Jun,Over | 1.5
Kansas City,https://media.api-sports.io/football/teams/1611.png,Charlotte FC,https://media.api-sports.io/football/teams/18310.png,Major League Soccer,26 Jun,Over | 1.5
Minnesota Utd,https://media.api-sports.io/football/teams/1612.png,Houston,https://media.api-sports.io/football/teams/1600.png,Major League Soccer,26 Jun,Full-Time | 1X
St Louis City,https://media.api-sports.io/football/teams/20787.png,Orlando,https://media.api-sports.io/football/teams/1598.png,Major League Soccer,26 Jun,Over | 1.5
Inter,https://media.api-sports.io/football/teams/505.png,River Plate,https://media.api-sports.io/football/teams/435.png,FIFA Club World Cup,26 Jun,Over | 1.5
Urawa,https://media.api-sports.io/football/teams/287.png,Monterrey,https://media.api-sports.io/football/teams/2282.png,FIFA Club World Cup,26 Jun,Over | 1.5
Colorado,https://media.api-sports.io/football/teams/1610.png,LA Galaxy,https://media.api-sports.io/football/teams/1605.png,Major League Soccer,26 Jun,Over | 1.5
Juventus,https://media.api-sports.io/football/teams/496.png,Manchester City,https://media.api-sports.io/football/teams/50.png,FIFA Club World Cup,26 Jun,Over | 1.5
Wydad Casablanca,https://tejtips.com/wp-content/uploads/2025/06/IMG_2849.png,Al Ain,https://media.api-sports.io/football/teams/2865.png,FIFA Club World Cup,26 Jun,Over | 1.5
CRB,https://media.api-sports.io/football/teams/146.png,América MG,https://media.api-sports.io/football/teams/125.png,Serie B,27 Jun,Full-Time | 1X
RB Salzburg,https://media.api-sports.io/football/teams/571.png,Real Madrid,https://media.api-sports.io/football/teams/541.png,FIFA Club World Cup,27 Jun,Full-Time | X2
Al-Hilal,https://media.api-sports.io/football/teams/2932.png,Pachuca,https://media.api-sports.io/football/teams/2292.png,FIFA Club World Cup,27 Jun,Full-Time | 1X
Daejeon,https://media.api-sports.io/football/teams/2750.png,Jeju United,https://media.api-sports.io/football/teams/2761.png,K League 1,27 Jun,Over | 1.5
Gimcheon Sangmu,https://media.api-sports.io/football/teams/2768.png,Jeonbuk,https://media.api-sports.io/football/teams/2762.png,K League 1,27 Jun,Over | 1.5
Gnistan,https://media.api-sports.io/football/teams/2082.png,Inter Turku,https://media.api-sports.io/football/teams/1164.png,Veikkausliiga,27 Jun,Over | 1.5
KuPS,https://media.api-sports.io/football/teams/1165.png,HJK,https://media.api-sports.io/football/teams/649.png,Veikkausliiga,27 Jun,Over | 1.5
Stjarnan,https://media.api-sports.io/football/teams/275.png,Breidablik,https://media.api-sports.io/football/teams/276.png,Úrvalsdeild,27 Jun,Over | 1.5
